,batch,itemn,labeln,time,op,neighbor_choice,old_user_id,true_user_id,phase_label,cat_ori,cat
62,20241023003,1,1,op_t2,-19,"['149', '154', '158', '145']",142,205,R2_post,in,Introvert
63,20241023003,1,1,op_t2,-26,"['156', '157', '152', '147']",154,210,R2_post,in,Introvert
64,20241023003,1,1,op_t2,-16,"['161', '146', '154', '158']",145,209,R2_post,ex,Extrovert
65,20241023003,1,1,op_t2,-39,"['152', '154', '145', '153']",155,216,R2_post,in,Introvert
66,20241023003,1,1,op_t2,25,"['152', '158', '154', '153']",150,213,R2_post,ex,Extrovert
67,20241023003,1,1,op_t2,-27,"['159', '160', '158', '142']",144,207,R2_post,in,Introvert
68,20241023003,1,1,op_t2,-15,"['152', '158', '154', '145']",160,225,R2_post,in,Introvert
69,20241023003,1,1,op_t2,-30,"['156', '152', '158', '145']",147,215,R2_post,ex,Extrovert
70,20241023003,1,1,op_t2,20,"['161', '152', '147', '145']",157,219,R2_post,ex,Extrovert
71,20241023003,1,1,op_t2,15,"['159', '160', '142', '148']",146,212,R2_post,in,Introvert
72,20241023003,1,1,op_t2,-12,"['156', '159', '160', '145']",149,220,R2_post,in,Introvert
73,20241023003,1,1,op_t2,-31,"['149', '154', '143', '155']",158,223,R2_post,in,Introvert
74,20241023003,1,1,op_t2,25,"['157', '160', '143', '144']",161,226,R2_post,ex,Extrovert
75,20241023003,1,1,op_t2,40,"['146', '152', '154', '147']",156,214,R2_post,ex,Extrovert
